=== Partida ===
Configuración:
  Estrategias: AlwaysDefectStrategy vs AlwaysCooperateStrategy
  Rondas: 100
  Scoring:
    - Cooperación mutua: 3
    - Defección mutua: 1
    - Traición: 5/0 (traidor/traicionado)
Desarrollo:
Ronda 1: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 2: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 3: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 4: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 5: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 6: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 7: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 8: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 9: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 10: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 11: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 12: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 13: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 14: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 15: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 16: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 17: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 18: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 19: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 20: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 21: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 22: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 23: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 24: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 25: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 26: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 27: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 28: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 29: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 30: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 31: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 32: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 33: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 34: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 35: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 36: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 37: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 38: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 39: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 40: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 41: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 42: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 43: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 44: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 45: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 46: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 47: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 48: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 49: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 50: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 51: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 52: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 53: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
