=== Partida ===
Configuración:
  Estrategias: GraaskampStrategy vs RandomStrategy
  Rondas: 100
  Scoring:
    - Cooperación mutua: 3
    - Defección mutua: 1
    - Traición: 5/0 (traidor/traicionado)
Desarrollo:
Ronda 1: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 2: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 3: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 4: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 5: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 6: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 7: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 8: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 9: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 10: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 11: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 12: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 13: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 14: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 15: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 16: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 17: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 18: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 19: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 20: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 21: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 22: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 23: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 24: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 25: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 26: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 27: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 28: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 29: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 30: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 31: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 32: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 33: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 34: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 35: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 36: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 37: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 38: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 39: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 40: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 41: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 42: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 43: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 44: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 45: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 46: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 47: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 48: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 49: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 50: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 51: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 52: GraaskampStrategy=COOPERATE, RandomStrategy=COOPERATE (3-3)
Ronda 53: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 54: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 55: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 56: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 57: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 58: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 59: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 60: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 61: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 62: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 63: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 64: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
Ronda 65: GraaskampStrategy=COOPERATE, RandomStrategy=DEFECT (0-5)
Ronda 66: GraaskampStrategy=DEFECT, RandomStrategy=DEFECT (1-1)
Ronda 67: GraaskampStrategy=DEFECT, RandomStrategy=COOPERATE (5-0)
